ID_employee,Пол,Возраст,Стаж,Должность,Зарплата
1,муж,68,10,младший научный сотрудник,70000
2,жен,42,7,научный сотрудник,80000
3,жен,34,63,ведущий научный сотрудник,190000
4,муж,75,15,младший научный сотрудник,120000
5,жен,76,38,младший научный сотрудник,90000
6,жен,30,37,научный сотрудник,100000
7,муж,62,9,старший научный сотрудник,20000
8,муж,68,44,ведущий научный сотрудник,60000
9,муж,70,41,старший научный сотрудник,20000
10,жен,62,54,научный сотрудник,170000
11,жен,48,21,научный сотрудник,20000
12,жен,59,41,ведущий научный сотрудник,110000
13,муж,78,10,старший научный сотрудник,180000
14,жен,39,29,ведущий научный сотрудник,110000
15,жен,88,2,научный сотрудник,130000
16,жен,56,10,ведущий научный сотрудник,160000
17,муж,49,10,научный сотрудник,70000
18,жен,49,37,младший научный сотрудник,130000
19,жен,29,63,старший научный сотрудник,190000
20,жен,89,8,стажёр-исследователь,150000
21,муж,59,9,научный сотрудник,80000
22,жен,40,35,стажёр-исследователь,50000
23,муж,62,8,младший научный сотрудник,190000
24,муж,90,31,старший научный сотрудник,90000
25,муж,22,14,главный научный сотрудник,80000
26,жен,57,18,младший научный сотрудник,120000
27,муж,47,21,научный сотрудник,90000
28,муж,87,45,научный сотрудник,100000
29,муж,67,5,главный научный сотрудник,70000
30,муж,70,3,младший научный сотрудник,190000
31,муж,57,41,старший научный сотрудник,150000
32,муж,74,26,старший научный сотрудник,150000
33,муж,53,2,главный научный сотрудник,30000
34,муж,21,1,научный сотрудник,110000
35,муж,76,40,ведущий научный сотрудник,70000
36,муж,60,2,ведущий научный сотрудник,190000
37,жен,78,26,стажёр-исследователь,190000
38,муж,35,19,старший научный сотрудник,80000
39,муж,66,23,главный научный сотрудник,80000
40,жен,24,35,научный сотрудник,190000
41,жен,69,26,старший научный сотрудник,110000
42,жен,35,46,ведущий научный сотрудник,140000
43,жен,46,20,научный сотрудник,20000
44,муж,46,56,ведущий научный сотрудник,160000
45,муж,27,4,ведущий научный сотрудник,150000
46,жен,53,69,ведущий научный сотрудник,100000
47,муж,36,61,старший научный сотрудник,170000
48,муж,72,9,главный научный сотрудник,140000
49,жен,83,9,научный сотрудник,20000
50,жен,33,38,главный научный сотрудник,30000
51,жен,87,28,стажёр-исследователь,60000
52,муж,77,56,стажёр-исследователь,80000
53,муж,41,47,главный научный сотрудник,190000
54,жен,64,28,ведущий научный сотрудник,110000
55,жен,90,63,старший научный сотрудник,80000
56,жен,65,69,стажёр-исследователь,90000
57,муж,31,35,научный сотрудник,60000
58,жен,87,13,старший научный сотрудник,70000
59,муж,87,28,научный сотрудник,180000
60,жен,27,63,научный сотрудник,180000
61,муж,86,36,стажёр-исследователь,110000
62,муж,50,60,главный научный сотрудник,60000
63,жен,56,30,главный научный сотрудник,100000
64,жен,49,28,главный научный сотрудник,170000
65,жен,29,30,главный научный сотрудник,50000
66,жен,83,13,старший научный сотрудник,100000
67,муж,64,62,главный научный сотрудник,20000
68,муж,49,48,младший научный сотрудник,20000
69,жен,64,65,главный научный сотрудник,20000
70,муж,53,56,старший научный сотрудник,30000
71,муж,27,41,старший научный сотрудник,20000
72,муж,67,9,главный научный сотрудник,130000
73,жен,72,40,старший научный сотрудник,120000
74,жен,73,19,ведущий научный сотрудник,40000
75,муж,83,46,стажёр-исследователь,90000
76,жен,87,39,младший научный сотрудник,90000
77,муж,90,7,стажёр-исследователь,180000
78,жен,88,61,старший научный сотрудник,170000
79,муж,58,18,научный сотрудник,40000
80,жен,32,66,научный сотрудник,50000
81,муж,56,6,ведущий научный сотрудник,40000
82,жен,26,57,младший научный сотрудник,50000
83,жен,40,55,стажёр-исследователь,120000
84,муж,41,42,ведущий научный сотрудник,90000
85,жен,73,62,младший научный сотрудник,120000
86,муж,74,28,младший научный сотрудник,140000
87,жен,21,68,стажёр-исследователь,110000
88,муж,75,45,ведущий научный сотрудник,20000
89,муж,77,45,младший научный сотрудник,80000
90,жен,59,6,стажёр-исследователь,40000
91,муж,70,61,научный сотрудник,110000
92,жен,56,53,главный научный сотрудник,170000
93,жен,62,33,младший научный сотрудник,70000
94,жен,73,32,научный сотрудник,80000
95,муж,22,16,стажёр-исследователь,40000
96,жен,50,15,стажёр-исследователь,30000
97,жен,33,16,старший научный сотрудник,90000
98,муж,43,51,стажёр-исследователь,130000
99,муж,85,54,старший научный сотрудник,170000
100,муж,86,42,старший научный сотрудник,160000
101,муж,63,61,научный сотрудник,40000
102,муж,23,32,младший научный сотрудник,70000
103,муж,36,3,ведущий научный сотрудник,70000
104,жен,66,47,старший научный сотрудник,30000
105,муж,70,28,старший научный сотрудник,130000
106,муж,47,68,стажёр-исследователь,160000
107,жен,36,30,научный сотрудник,80000
108,жен,70,59,стажёр-исследователь,20000
109,жен,52,67,старший научный сотрудник,80000
110,муж,89,43,научный сотрудник,170000
111,жен,45,58,младший научный сотрудник,190000
112,муж,62,69,старший научный сотрудник,90000
113,муж,55,62,старший научный сотрудник,150000
114,жен,73,10,научный сотрудник,80000
115,муж,24,54,старший научный сотрудник,170000
116,жен,37,62,главный научный сотрудник,190000
117,муж,89,50,научный сотрудник,190000
118,муж,71,51,стажёр-исследователь,90000
119,муж,58,41,стажёр-исследователь,130000
120,жен,61,27,стажёр-исследователь,30000
121,муж,25,5,главный научный сотрудник,130000
122,муж,25,35,научный сотрудник,90000
123,жен,80,2,младший научный сотрудник,180000
124,муж,63,56,стажёр-исследователь,30000
125,муж,27,48,старший научный сотрудник,130000
126,муж,51,8,ведущий научный сотрудник,180000
127,жен,44,3,старший научный сотрудник,130000
128,муж,47,67,ведущий научный сотрудник,190000
129,муж,44,6,научный сотрудник,80000
130,жен,59,53,старший научный сотрудник,120000
131,муж,81,28,старший научный сотрудник,110000
132,муж,37,32,младший научный сотрудник,100000
133,муж,75,66,старший научный сотрудник,20000
