ID_equip,ID_supplier,Название,Назначение,Исправно
1,14,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
2,7,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
3,11,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
4,3,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
5,17,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,0
6,4,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
7,20,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
8,5,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
9,14,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,0
10,20,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
11,1,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
12,2,Мессбауэровский спектрометр,Структурный анализ,0
13,9,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
14,5,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,0
15,2,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
16,19,Мессбауэровский спектрометр,Структурный анализ,0
17,11,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,0
18,6,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,1
19,19,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
20,9,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
21,16,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
22,12,Конфокальный КР микроскоп,Структурный анализ,0
23,13,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,0
24,18,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
25,7,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
26,16,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
27,12,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
28,4,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
29,18,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,0
30,19,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,1
31,4,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
32,4,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,1
33,9,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,1
34,18,Конфокальный КР микроскоп,Структурный анализ,1
35,6,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,1
