ID_lab,ID_medicine,ID_equip,ID_license,ID_employee,Название,Дата_основания,Специализация,Владелец,Годовые_доходы,Годовые_расходы,Количество_филиалов
1,776,423,161,1084,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,549,240,195,360,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,841,4,317,174,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,504,380,3,644,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,18,182,475,474,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,499,40,51,190,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,904,409,385,271,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,895,272,413,508,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,281,212,187,1040,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,466,258,432,654,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,754,404,377,496,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,1030,448,360,995,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,627,56,329,1112,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,1057,167,213,384,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,247,143,58,986,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,667,318,408,309,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,1009,487,281,973,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,15,327,485,1078,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,236,265,251,300,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,847,249,261,802,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,125,331,349,513,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,778,425,172,707,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,130,2,296,944,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,93,278,45,175,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,765,47,438,437,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,793,58,305,387,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,1157,143,65,85,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,478,124,186,717,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,1051,147,43,597,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,245,369,476,391,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,543,381,1,54,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,998,103,20,360,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,323,230,207,1010,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,770,347,384,968,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,46,289,195,752,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,906,107,104,454,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,326,255,32,984,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,85,138,330,692,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,149,128,294,475,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,723,46,368,564,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,1151,30,355,46,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,395,190,287,431,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,1149,150,145,828,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,758,478,115,848,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,671,189,184,895,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,124,4,191,609,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,1069,56,290,438,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,581,485,75,681,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,123,386,440,727,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,922,359,358,207,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,427,208,367,570,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,910,331,53,430,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
1,1133,116,415,172,BostonGene,04-05-1999,Молекулярная биология,Мария Добычина,200000,50000,3
