ID_license,ID_company,Название,Оборудование
1,5,Freetype,Система для осаждения алмазных пленок
2,4,eCos,Система для измерения физических свойств PPMS-9
3,15,Berkeley,Исследовательская установка
4,6,iMatix,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
5,15,GNU GPL,Мессбауэровский спектрометр
6,14,eCos,Система для осаждения алмазных пленок
7,1,GPLv3,Исследовательская установка
8,14,CeCill,	Электронно-зондовый микроанализатор JXA-8230
9,8,Cryptix,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
10,17,Cryptix,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
11,15,CeCill,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
12,8,Boost,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
13,3,Cryptix,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
14,12,CeCill,Система для измерения физических свойств PPMS-9
15,1,GNU GPL,Система для осаждения алмазных пленок
16,1,Freetype,Система для осаждения алмазных пленок
17,6,Cryptix,	Электронно-зондовый микроанализатор JXA-8230
18,16,CeCill,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
19,14,Cryptix,Конфокальный КР микроскоп
20,8,iMatix,Конфокальный КР микроскоп
21,11,GNU GPL,Система для осаждения алмазных пленок
22,13,iMatix,Система для измерения физических свойств PPMS-9
23,15,GPLv3,Гелиевый реконденсатор сверхпроводящего магнита
24,1,Berkeley,Гелиевый реконденсатор сверхпроводящего магнита
25,6,Boost,Система для осаждения алмазных пленок
26,6,Berkeley,Конфокальный КР микроскоп
27,11,GNU GPL,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
28,10,BSD,Конфокальный КР микроскоп
29,7,Boost,Конфокальный КР микроскоп
30,13,eCos,Система для измерения физических свойств PPMS-9
31,16,Freetype,Гелиевый реконденсатор сверхпроводящего магнита
32,16,Boost,Полуавтоматическая зондовая станция
33,7,Freetype,Гелиевый реконденсатор сверхпроводящего магнита
34,5,iMatix,Исследовательская установка
35,6,Boost,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
36,9,GPLv3,Конфокальный КР микроскоп
37,7,Boost,Гелиевый реконденсатор сверхпроводящего магнита
38,11,Berkeley,Полуавтоматическая зондовая станция
39,1,Boost,Конфокальный КР микроскоп
40,18,Cryptix,Полуавтоматическая зондовая станция
41,1,eCos,Гелиевый реконденсатор сверхпроводящего магнита
42,17,CeCill,Мессбауэровский спектрометр
43,11,CeCill,Конфокальный КР микроскоп
44,9,CeCill,Исследовательская установка
45,6,BSD,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
46,11,Boost,Конфокальный КР микроскоп
47,5,Cryptix,	Электронно-зондовый микроанализатор JXA-8230
48,16,iMatix,Гелиевый реконденсатор сверхпроводящего магнита
49,15,GNU GPL,Система для осаждения алмазных пленок
50,11,GNU GPL,Система для осаждения алмазных пленок
51,4,eCos,Система для осаждения алмазных пленок
52,12,Berkeley,Конфокальный КР микроскоп
53,2,BSD,Полуавтоматическая зондовая станция
54,1,Boost,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
55,12,Freetype,Система для осаждения алмазных пленок
56,12,BSD,Исследовательская установка
57,10,Freetype,Система для измерения физических свойств PPMS-9
58,3,Berkeley,Система для осаждения алмазных пленок
59,15,Cryptix,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
60,18,Cryptix,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
61,2,GNU GPL,Система для осаждения алмазных пленок
62,11,Boost,Полуавтоматическая зондовая станция
63,5,CeCill,	Электронно-зондовый микроанализатор JXA-8230
64,7,Boost,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
65,11,CeCill,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
66,10,Boost,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
67,15,BSD,Гелиевый реконденсатор сверхпроводящего магнита
68,1,eCos,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
69,8,BSD,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
70,11,eCos,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
71,7,Berkeley,Гелиевый реконденсатор сверхпроводящего магнита
72,8,Freetype,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
