ID_medicine,ID_protein,Название,Порция
1,5,Юниор Пайлекс,90
2,9,ОД Заласта,400
3,4, Таксакад,50
4,6,Агри Бавенсио,170
5,10,Канон Вагисепт,450
6,3,Сан Таксакад,180
7,7,Чабреца Кабецин,300
8,8,Агри Бавенсио,300
9,10,Плюс Дабловир,290
10,3,КУ-Таб Дабловир,280
11,8,Агри Цевикал,140
12,2,Сан Рабепразол,340
13,2,Плюс Дабловир,260
14,12, Вагисепт,390
15,9,Юниор Пайлекс,180
16,5,Юниор Дабловир,110
17,11, Йогексол,480
18,9,Канон Заласта,270
19,7, Трава,300
20,6,Плюс Таксакад,40
21,3,Чабреца Пайлекс,480
22,6,Акри Заласта,370
23,6,Форте Халиксол,460
24,10,П Эбермин,150
25,12,Юниор Таксакад,50
26,5,Чабреца Рабепразол,300
27,10,Юниор Халиксол,360
28,9,Коли Габапентин,190
29,7,Плюс Эбермин,360
30,4, Иардол,170
31,7,Агри Трава,350
32,9,Юниор Цевикал,310
33,2,Канон Эбермин,270
34,11,Плюс Вагисепт,270
35,11,Юниор Рабепразол,200
36,11,ОД Лавудин,280
37,3,ОД Пайлекс,320
38,12,Хай Цевикал,400
39,3,Минус Бавенсио,30
40,11,Плюс Дабловир,310
41,5,Плюс Лавудин,280
42,5,П Кром,210
43,9,Форте Халиксол,120
44,12,Коли Кабецин,430
45,11,Акри Цевикал,140
46,10,Акри Убистезин,130
47,3,Акри Дабловир,270
48,4,Ретард Габапентин,90
49,3,Вертекс Заласта,50
50,7,Вертекс Вагисепт,190
51,4,Цин Таксакад,410
52,4,Вертекс Бавенсио,300
53,9,П Жанин,60
54,3,Вертекс Рабелок,40
55,1,Агри Жанин,300
56,3,ОД Убистезин,120
57,3,Цин Йогексол,120
58,9,КУ-Таб Жанин,360
59,6,Форте Иардол,190
60,10, Убистезин,430
61,3,Плюс Кром,400
62,11,Агри Рабелок,180
63,1,Цин Бавенсио,100
64,5,ОД Трава,460
65,12,Канон Иардол,330
66,7,Юниор Пайлекс,310
67,11,Сан Йогексол,190
68,12,Цин Лавудин,30
69,10,Ретард Кром,90
70,7,Плюс Дабловир,150
71,4,Форте Рабепразол,450
72,7, Убистезин,280
73,7,Акри Жанин,380
74,1,Ретард Иардол,40
75,1,КУ-Таб Кабецин,60
76,9,Чабреца Габапентин,320
77,1,Л52 Рабепразол,350
78,8,Юниор Дабловир,100
79,8, Цевикал,60
80,4,Форте Иардол,220
81,3,Форте Таксакад,490
82,5,Юниор Вагисепт,50
83,6,Цин Йогексол,50
84,3,Коли Эбермин,90
85,8,Ретард Цевикал,160
86,10,Сан Йогексол,470
87,9,Канон Лавудин,420
88,4,П Рабелок,50
89,12,Акри Бавенсио,480
90,9, Таксакад,210
91,6, Дабловир,20
92,6, Габапентин,140
93,3,Цин Кром,330
94,6, Убистезин,390
95,5,Коли Рабепразол,290
96,12,Агри Жанин,90
97,11, Убистезин,50
98,4,Юниор Кром,150
99,9,Форте Кабецин,370
100,12,П Рабелок,90
101,3,Акри Дабловир,110
102,4,Л52 Кром,70
103,1,Коли Рабелок,120
104,12,Форте Трава,460
105,3, Вагисепт,420
106,11, Эбермин,310
107,5,Ретард Таксакад,20
108,10,Хай Цевикал,360
109,4,ОД Кабецин,230
110,7,Вертекс Заласта,290
111,3,Хай Рабепразол,120
112,10, Заласта,30
113,5,Юниор Кром,90
114,8,Вертекс Цевикал,470
115,11, Дабловир,380
116,10,П Кром,160
117,5,Чабреца Йогексол,90
118,5,Чабреца Габапентин,460
119,9,Акри Йогексол,400
120,7,Акри Рабепразол,470
121,8, Заласта,420
122,2,Ретард Иардол,240
123,3,Л52 Вагисепт,170
124,7,Сан Таксакад,430
125,2,Плюс Вагисепт,90
126,10,Ретард Бавенсио,80
127,12,ОД Жанин,230
128,9,Хай Бавенсио,280
129,12,КУ-Таб Бавенсио,450
130,8, Халиксол,140
131,3,Сан Дабловир,330
132,10, Трава,310
133,5,Л52 Рабелок,260
134,3,П Рабелок,440
135,1,Минус Эбермин,440
136,12,Л52 Кабецин,430
137,6,КУ-Таб Вагисепт,350
138,11,Чабреца Халиксол,120
139,1,Ретард Рабелок,170
140,9,Чабреца Лавудин,190
141,2,КУ-Таб Дабловир,170
142,3,Чабреца Кабецин,200
143,10,П Рабепразол,150
144,2,Форте Жанин,350
145,2,Канон Кабецин,390
146,2, Рабепразол,300
147,1,Ретард Жанин,30
148,10,Плюс Жанин,380
149,10,Плюс Халиксол,150
150,8,Хай Эбермин,50
151,12,Вертекс Заласта,50
152,12, Эбермин,80
153,2,КУ-Таб Цевикал,120
154,5,Агри Пайлекс,90
155,1, Убистезин,60
156,11,Агри Рабепразол,390
157,4,Коли Вагисепт,150
158,5, Цевикал,20
159,11,Ретард Кабецин,260
160,2,ОД Дабловир,440
161,8,Плюс Вагисепт,350
162,12,Канон Пайлекс,210
163,9,Вертекс Иардол,200
164,4,Сан Лавудин,210
