ID_protein,Название,Вид,Функция,Есть_в_наличии
1,гликопротеины,сложный,гормон,1
2,гликопротеины,сложный,гормон,0
3,липопротеины,сложный,транспорт,1
4,липопротеины,сложный,транспорт,0
5,фосфопротеины,сложный,регулирование,1
6,фосфопротеины,сложный,регулирование,0
7,гистоны,простой,упаковка нитей ДНК,1
8,гистоны,простой,упаковка нитей ДНК,0
9,хромопротеиды,сложный,аккумулирование энергии,1
10,хромопротеиды,сложный,аккумулирование энергии,0
11,альбумины,простой,траспорт,1
12,альбумины,простой,транспорт,0
